client_id;birth_number;district_id;gender
515;19320526;1;M
516;19300427;1;F
517;19650725;63;M
518;19790428;54;F
519;19800413;18;M
520;19470927;46;F
521;19751225;69;M
522;19560304;1;F
523;19221217;38;M
524;19630102;30;F
525;19690814;30;M
526;19640201;43;M
527;19660818;43;F
528;19770211;37;M
529;19781105;69;M
530;19570927;29;F
531;19761004;27;M
532;19800903;27;F
533;19410519;54;F
534;19570722;74;M
535;19370909;26;M
536;19390825;47;M
537;19350116;1;M
538;19480510;5;F
540;19210728;19;M
541;19270309;19;F
542;19210209;59;F
543;19580415;11;F
544;19481116;63;M
545;19731011;75;F
546;19530825;7;M
547;19490331;54;M
548;19371204;49;M
550;19611130;7;M
551;19760705;47;F
552;19340508;1;F
553;19410407;1;M
554;19250419;30;F
555;19261021;30;M
556;19460708;29;M
557;19390717;51;M
558;19200705;43;F
559;19720905;32;F
560;19671216;71;F
561;19621110;74;F
562;19750922;49;F
563;19610909;72;F
564;19550124;72;M
565;19590703;64;F
566;19460305;47;F
567;19500502;47;M
568;19600719;8;F
569;19620615;73;M
570;19410131;61;F
571;19240927;3;M
572;19200804;3;F
573;19670810;69;M
574;19721225;1;M
575;19700404;58;M
576;19740512;58;F
577;19631205;1;F
578;19770707;23;F
579;19330531;72;F
581;19490204;70;F
582;19500926;1;M
583;19650101;75;F
584;19760513;33;F
585;19420221;40;F
586;19471103;40;M
587;19450708;25;F
588;19601020;61;F
589;19610917;45;M
590;19490215;44;M
591;19741029;65;F
592;19650718;26;M
593;19540710;60;F
596;19481024;69;M
597;19430222;55;M
598;19701231;1;M
599;19770518;1;F
601;19660312;56;M
602;19650116;56;F
603;19660309;13;F
604;19650731;1;F
605;19700827;1;F
606;19490125;10;F
607;19640330;64;M
608;19720831;67;M
609;19620902;52;M
610;19790810;74;F
611;19521013;36;M
612;19601110;36;F
613;19770810;1;F
614;19470203;14;F
615;19490913;68;F
616;19750101;58;M
617;19740314;70;M
618;19320316;57;F
619;19200907;6;M
620;19180213;6;F
621;19390317;54;M
622;19311123;74;F
623;19250904;24;M
624;19320726;24;F
625;19781124;60;F
626;19800413;9;M
627;19720411;17;M
628;19700527;17;F
629;19760310;16;M
630;19520303;61;M
631;19560322;70;F
632;19460316;67;M
633;19380612;67;F
635;19270629;17;F
636;19350217;17;M
637;19701215;39;F
638;19610203;54;F
639;19780802;31;M
640;19790415;26;M
641;19620704;40;F
642;19631025;40;M
643;19490613;1;F
644;19610423;35;F
645;19251221;14;M
646;19220929;34;F
647;19290406;34;M
648;19350928;70;F
649;19780502;13;F
651;19760127;54;F
652;19381208;61;M
653;19301121;1;F
654;19420517;64;F
655;19421210;32;M
656;19560606;1;M
657;19260710;8;F
658;19261221;8;M
659;19651207;24;M
660;19230322;16;M
661;19190115;16;F
662;19450807;5;M
663;19230120;24;M
664;19800319;77;F
665;19320405;62;F
666;19820523;26;M
667;19810720;26;F
668;19421225;1;F
669;19561219;12;F
670;19590121;1;M
671;19710227;10;F
672;19291109;46;F
673;19391029;36;M
674;19270111;11;F
675;19751112;50;M
676;19530207;70;M
677;19630524;5;M
678;19330528;39;F
679;19400319;8;M
680;19400509;8;F
681;19770115;15;M
682;19791021;18;M
683;19450829;76;F
684;19760410;3;F
685;19301213;72;F
686;19711003;32;F
687;19750128;32;M
688;19540504;1;M
689;19640802;70;M
690;19421107;38;M
691;19440113;38;F
692;19360111;74;F
693;19350317;74;M
694;19360228;29;M
695;19550627;28;M
696;19521201;28;F
697;19740501;1;M
698;19540227;75;M
699;19220422;26;F
700;19291120;12;M
702;19681107;31;F
703;19590426;4;M
704;19750501;54;M
705;19381210;19;M
706;19480805;1;M
707;19411214;1;M
708;19771127;50;F
709;19341229;1;M
710;19251128;23;M
711;19630816;48;F
712;19621204;54;M
713;19800329;20;F
714;19701008;31;M
715;19520115;1;F
716;19541204;1;F
717;19680502;54;M
718;19600228;54;F
719;19740809;46;M
720;19540906;29;M
721;19400215;43;M
722;19701125;62;F
723;19570726;12;F
724;19530202;65;F
725;19561211;75;M
726;19350213;16;M
727;19300720;32;F
728;19320120;32;M
729;19690317;63;F
730;19730814;63;M
731;19790122;74;F
732;19780705;74;M
733;19780728;46;M
734;19850114;46;F
735;19731126;1;M
736;19770426;1;F
737;19521104;74;M
738;19200326;25;M
739;19420416;72;M
740;19231107;55;M
741;19410709;74;M
742;19511015;1;F
743;19410217;1;M
744;19400718;26;M
745;19660214;52;F
746;19620416;52;M
747;19530820;24;F
748;19361015;25;M
749;19330729;25;F
750;19560929;70;F
751;19590309;70;M
752;19441220;72;M
753;19400924;72;F
754;19470604;63;F
755;19471121;72;M
756;19200513;31;M
757;19701220;71;F
758;19610726;68;F
759;19550520;29;M
760;19360825;57;F
762;19370420;21;M
763;19270824;75;F
764;19551013;49;F
765;19691231;65;M
766;19260703;1;F
767;19230616;1;M
768;19310923;32;F
769;19771215;40;M
772;19441210;64;M
773;19351030;4;M
774;19730303;70;M
775;19401130;51;F
776;19530503;1;F
777;19610520;1;M
778;19400604;13;M
779;19440612;69;F
780;19240226;3;M
781;19450920;72;M
782;19630318;5;F
783;19710325;27;F
784;19641228;27;M
785;19340909;63;M
786;19780906;53;M
787;19471208;3;M
788;19740903;47;M
789;19310921;4;M
790;19670509;63;F
791;19500929;68;F
793;19780204;21;M
794;19790716;21;F
796;19190830;1;M
797;19480127;8;M
798;19400212;27;F
799;19360219;27;M
803;19510215;35;M
804;19560123;35;F
806;19800422;60;M
807;19691021;53;F
808;19631128;31;M
809;19191015;49;M
810;19450924;58;F
811;19400528;58;M
812;19401206;39;M
813;19640129;70;M
814;19591001;19;M
815;19641027;22;F
816;19580201;17;F
818;19660427;54;M
819;19580708;74;M
820;19601106;74;F
821;19480512;49;M
822;19590508;37;F
823;19561024;41;M
824;19520905;27;M
825;19770402;74;M
826;19780123;1;M
827;19650904;10;F
828;19581210;10;M
829;19570519;24;M
830;19480827;69;M
831;19480502;2;M
832;19231223;67;F
833;19600611;5;M
834;19221217;54;M
835;19431020;28;F
836;19480614;28;M
837;19741014;71;M
838;19680204;71;F
839;19550518;47;F
840;19370426;20;M
841;19810210;69;M
842;19330703;12;F
843;19570903;54;F
844;19450114;22;M
845;19530130;22;F
846;19491201;35;M
847;19791225;49;M
849;19390606;26;F
850;19690921;19;M
851;19190616;25;M
852;19160604;25;F
853;19490602;70;M
854;19411102;72;F
855;19300128;58;M
856;19190122;23;M
857;19480221;32;M
858;19590329;47;F
859;19680729;1;F
860;19671208;1;M
861;19560913;1;F
862;19520105;30;M
863;19681129;54;F
864;19530327;11;M
865;19461103;11;F
866;19751124;38;F
870;19570506;70;M
871;19740311;76;M
872;19630222;35;M
873;19440105;60;M
874;19520905;14;F
875;19561207;14;M
876;19601125;1;M
877;19270121;5;F
878;19200417;5;M
879;19431208;38;F
880;19600217;49;M
881;19750222;5;F
882;19330909;70;F
883;19200106;75;F
884;19181014;75;M
885;19230208;34;M
886;19480202;34;M
887;19731128;66;F
888;19731026;28;M
889;19811024;54;F
890;19190330;77;M
891;19310131;33;M
892;19220524;42;F
893;19351023;43;F
894;19340818;75;M
895;19700703;39;M
896;19730424;36;F
897;19810325;36;M
898;19430427;38;F
899;19440213;38;M
900;19770410;73;M
901;19191221;39;M
902;19500815;23;M
903;19340306;31;M
904;19320208;1;M
905;19401023;38;M
906;19780616;65;M
907;19480311;51;M
908;19610307;51;F
909;19750907;23;M
910;19610927;1;M
911;19391128;43;M
912;19201029;76;M
913;19381118;1;M
914;19210119;1;F
915;19750503;12;M
916;19580629;3;M
917;19730916;25;F
918;19641223;26;M
921;19540213;7;F
922;19720816;22;F
923;19780822;22;M
924;19530712;1;M
925;19590813;54;M
926;19810122;1;M
927;19741026;1;M
928;19511010;66;F
929;19350423;30;M
930;19590825;68;F
931;19680607;16;M
932;19470927;3;M
933;19780311;33;F
934;19820819;33;M
935;19460517;42;F
936;19430730;42;M
937;19311114;1;M
938;19440807;59;F
939;19520803;21;M
940;19600811;53;M
941;19351005;10;M
942;19310902;12;F
943;19360926;12;M
944;19701218;39;M
945;19770110;39;F
946;19510806;54;M
948;19240422;49;M
949;19760727;3;M
950;19650412;76;F
951;19600917;76;M
952;19510501;63;F
953;19371017;25;M
954;19421020;1;F
955;19700128;57;M
956;19661021;1;M
957;19411223;56;F
958;19420504;56;M
959;19620912;11;F
960;19570413;16;F
961;19311004;15;F
962;19660219;19;M
963;19661217;64;F
964;19531021;10;F
965;19721201;13;F
966;19780902;13;M
967;19790620;76;M
968;19570217;69;M
970;19570329;36;M
971;19190101;46;F
972;19170506;46;M
973;19701006;14;F
974;19630624;14;M
975;19590712;1;F
976;19551119;16;F
977;19260510;76;F
978;19680609;56;F
979;19661118;56;M
980;19610930;40;M
981;19600628;5;M
984;19490703;20;M
985;19470113;20;F
986;19550516;74;M
987;19520520;60;M
988;19391001;40;F
989;19330815;40;M
990;19611224;71;M
991;19410627;32;M
992;19480521;19;M
993;19691031;44;F
994;19710427;36;M
995;19731030;36;F
996;19800626;1;F
997;19501111;59;M
998;19530628;59;F
999;19660901;74;F
1000;19611027;74;M
1001;19470414;44;M
1002;19440308;42;F
1003;19371031;31;F
1004;19570925;3;M
1006;19420628;46;F
1007;19380105;46;M
1008;19560706;6;M
1009;19620427;33;F
1010;19550816;33;M
1011;19390713;16;M
1012;19660213;70;F
1013;19730312;70;M
1014;19310208;1;M
1015;19340313;62;M
1016;19400721;62;F
1017;19430212;6;F
1018;19450228;53;M
1019;19461222;14;F
1020;19770510;72;F
1021;19770805;2;M
1022;19400723;31;M
1023;19381228;1;M
1024;19560329;25;M
1025;19640708;15;M
1026;19790812;57;M
1027;19401104;1;F
1028;19341002;1;M
1029;19540316;1;F
1030;19471011;1;M
1031;19681211;2;F
1032;19381030;1;F
1033;19371014;1;M
1034;19741111;52;F
1035;19710328;13;F
1036;19761206;13;M
1037;19651101;1;F
1038;19610923;69;F
1039;19801011;70;F
1040;19600617;1;M
1041;19610705;72;M
1042;19660925;17;F
1043;19631116;17;M
1044;19710913;9;F
1045;19471224;60;F
1046;19750824;1;M
1047;19630711;16;F
1048;19741003;70;F
1049;19421111;1;M
1050;19710701;27;F
1051;19710826;73;F
1052;19640311;56;M
1053;19580603;56;F
1054;19240820;63;M
1055;19190517;4;M
1056;19630619;1;M
1057;19390221;52;M
1058;19750801;9;F
1059;19600603;26;M
1060;19571217;26;F
1062;19750108;16;M
1063;19760612;16;F
1064;19510203;1;F
1065;19571126;2;M
1066;19401018;1;M
1067;19520514;1;M
1068;19261020;13;F
1069;19380221;54;F
1070;19381202;54;M
1071;19250125;43;M
1072;19661208;60;F
1073;19240410;34;M
1074;19280825;34;F
1075;19340604;65;F
1076;19790511;53;F
1077;19200623;46;M
1078;19781215;24;F
1079;19610715;3;M
1080;19501006;54;F
1081;19701216;71;M
1082;19670223;9;M
1083;19371215;48;M
1084;19440409;48;F
1085;19321219;60;F
1086;19730504;74;M
1087;19780730;74;F
1088;19690823;47;F
1089;19391209;1;M
1090;19390620;35;F
1091;19400627;59;F
1092;19620720;41;F
1093;19760728;62;F
1094;19601004;30;F
1095;19540216;30;M
1096;19260303;1;F
1097;19300902;1;M
1098;19480910;60;F
1099;19791121;65;F
1100;19510704;59;M
1101;19460622;74;M
1102;19350129;72;M
1103;19510818;1;M
1104;19550209;1;F
1105;19420103;56;M
1106;19400225;56;F
1107;19610426;60;M
1108;19551222;62;F
1109;19310901;58;F
1110;19280324;10;F
1111;19790604;61;M
1112;19300725;13;F
1113;19760820;11;M
1114;19800618;59;M
1115;19200824;36;F
1116;19730419;69;F
1117;19761101;20;F
1118;19691103;20;M
1119;19800105;54;F
1120;19731021;41;F
1121;19390302;59;M
1122;19210218;20;M
1123;19220826;20;F
1124;19280412;21;M
1125;19340330;9;F
1126;19351023;9;M
1127;19741112;23;M
1128;19300716;7;M
1129;19310924;43;M
1130;19401126;70;F
1131;19471028;55;F
1132;19480321;55;M
1133;19580915;37;F
1134;19591001;37;M
1135;19520721;8;M
1136;19760918;9;F
1137;19770305;1;F
1138;19700930;70;F
1139;19730922;70;M
1140;19460224;18;M
1141;19410422;21;F
1142;19461119;59;F
1143;19460515;59;M
1145;19680914;58;F
1146;19651114;54;M
1147;19300512;3;M
1148;19410515;41;M
1149;19760925;14;F
1150;19450624;74;F
1151;19730306;59;M
1152;19810312;74;M
1153;19801115;70;F
1154;19240131;72;M
1155;19220710;72;F
1156;19331111;1;F
1157;19581230;4;F
1158;19540821;1;F
1159;19440203;64;M
1160;19380728;64;F
1161;19730525;7;M
1162;19750219;26;F
1163;19640828;20;M
1164;19590914;15;F
1165;19421002;15;F
1166;19590627;74;M
1167;19540317;74;F
1168;19780531;19;M
1169;19410124;18;F
1170;19770428;12;M
1171;19740328;46;F
1172;19230613;54;F
1173;19220602;54;M
1174;19700313;29;F
1175;19251025;1;M
1176;19180831;1;F
1177;19390621;77;F
1178;19711004;1;F
1179;19301005;1;F
1180;19441006;21;M
1181;19391112;1;M
1182;19461016;66;F
1183;19421129;54;M
1186;19470805;2;F
1187;19610906;32;F
1188;19680919;32;M
1189;19320215;74;F
1190;19760412;15;F
1191;19770602;15;M
1192;19250101;10;F
1193;19260129;19;M
1194;19390614;17;F
1195;19390122;39;F
1196;19430416;22;M
1197;19661002;6;F
1198;19750217;72;F
1199;19761024;64;F
1200;19311117;47;F
1201;19450910;54;M
1202;19801011;47;F
1204;19741109;77;F
1206;19570621;50;M
1207;19390917;28;F
1208;19750901;70;F
1209;19570409;36;F
1210;19611012;6;M
1211;19780714;1;M
1212;19270919;13;F
1213;19660428;1;M
1214;19401115;61;M
1215;19440506;45;M
1216;19450612;65;F
1217;19370417;59;M
1218;19800527;74;M
1219;19440731;1;M
1220;19531216;40;F
1221;19730518;14;F
1222;19391130;7;F
1223;19550813;14;F
1224;19380512;56;M
1225;19460821;42;M
1226;19510414;33;F
1227;19551002;33;M
1228;19490828;21;F
1229;19710202;19;M
1231;19650927;20;F
1232;19590413;20;M
1233;19421022;68;M
1234;19750115;23;M
1235;19790712;23;F
1236;19670428;26;F
1237;19231107;57;M
1238;19350901;74;M
1239;19760909;11;F
1240;19760824;32;F
1241;19421217;73;F
1242;19440821;73;F
1243;19741005;11;F
1244;19640502;1;M
1245;19790813;64;M
1246;19621119;70;M
1247;19691009;70;F
1248;19710624;19;M
1250;19520801;43;F
1251;19590530;1;M
1252;19530819;1;F
1253;19670828;14;F
1254;19390831;3;F
1255;19660807;1;F
1256;19551113;46;F
1257;19280901;35;F
1258;19240920;35;M
1259;19660929;18;M
1260;19450103;57;F
1261;19510928;57;M
1262;19520403;35;M
1263;19590225;35;F
1264;19761003;61;F
1265;19581221;57;F
1266;19521124;71;F
1267;19540211;29;F
1268;19490330;29;M
1269;19481231;1;F
1270;19300516;13;M
1271;19351129;47;M
1272;19440415;8;M
1273;19780615;6;M
1274;19760125;44;M
1275;19511010;1;F
1276;19420426;68;F
1277;19310407;70;M
1278;19780912;72;M
1279;19560711;16;M
1280;19520508;34;M
1281;19491228;34;F
1282;19361127;52;M
1283;19390209;66;F
1284;19430804;66;M
1285;19391126;62;M
1286;19500313;52;F
1287;19440809;65;F
1288;19720520;73;M
1289;19460918;59;M
1290;19760129;35;M
1291;19640418;1;F
1292;19770428;14;M
1293;19270129;1;M
1294;19300529;1;F
1295;19440209;74;F
1296;19590801;55;F
1297;19180128;64;F
1298;19210315;64;M
1299;19201016;2;F
1300;19791027;45;M
1303;19400816;42;F
1304;19360728;37;M
1305;19450428;55;F
1306;19221008;32;F
1307;19530408;74;M
1308;19540218;69;M
1309;19750617;1;M
1310;19770924;41;F
1311;19561218;54;F
1312;19350403;35;F
1313;19701120;54;M
1314;19750609;54;F
1315;19230226;34;M
1316;19461113;67;F
1317;19450518;67;M
1318;19310310;47;M
1321;19771109;35;F
1322;19450922;4;F
1323;19440106;70;M
1324;19560807;66;F
1325;19450919;39;M
1326;19560512;55;F
1327;19631231;20;F
1328;19370605;42;F
1329;19180216;26;M
1330;19680917;66;M
1331;19631124;54;M
1332;19571127;5;F
1333;19490420;48;M
1334;19780206;8;M
1335;19610125;1;F
1336;19621104;1;M
1337;19790329;56;F
1338;19830726;56;M
1339;19590504;22;M
1340;19390320;68;F
1341;19620617;69;F
1343;19390816;1;F
1344;19350218;1;M
1345;19680522;32;M
1346;19540829;13;M
1347;19700306;13;M
1348;19750607;13;F
1349;19680107;26;F
1350;19590428;1;M
1351;19510924;1;F
1352;19710401;54;F
1353;19590213;27;M
1354;19210114;64;M
1355;19760201;35;F
1356;19320918;1;M
1359;19510904;1;F
1360;19460819;1;M
1361;19220929;1;F
1362;19290103;1;M
1363;19791227;6;F
1364;19331228;1;M
1365;19380223;1;F
1366;19800302;12;F
1367;19651027;60;F
1368;19571230;60;M
1369;19781023;41;M
1370;19650111;34;F
1371;19481022;49;F
1372;19761207;28;F
1373;19750208;74;F
1375;19770127;69;M
1376;19580903;18;M
1377;19510723;18;F
1378;19411125;74;F
1379;19370218;74;M
1380;19530729;44;F
1382;19791123;18;F
1383;19821005;29;M
1384;19530424;40;F
1385;19530830;22;M
1386;19560809;22;F
1387;19770222;1;F
1388;19620906;5;F
1389;19270304;43;F
1390;19790527;59;F
1391;19651122;41;M
1392;19320206;50;M
1393;19340501;50;F
1394;19420822;49;F
1395;19411018;49;M
1396;19460314;39;F
1397;19211225;66;F
1401;19810724;35;M
1402;19361125;44;M
1403;19440102;44;F
1404;19681220;11;F
1406;19481112;29;F
1407;19410804;29;M
1408;19690807;49;M
1409;19510430;25;M
1410;19440203;18;M
1411;19390806;18;F
1412;19791105;6;M
1413;19690716;11;F
1414;19741113;70;F
1416;19271202;19;M
1417;19661112;27;F
1418;19740616;41;F
1419;19180125;74;F
1420;19160120;74;M
1421;19560210;20;F
1422;19760223;69;F
1423;19820411;69;M
1424;19520105;8;M
1425;19680827;12;M
1426;19640430;12;F
1427;19651216;14;F
1428;19200423;12;M
1429;19270904;12;F
1430;19820529;64;F
